Name	Age	Nationality	Club	Value	Wage
Ángel Galván	25.0	Spain	CD Tenerife	525000.0	2000.0
F. Jamnig	27.0	Austria	LASK Linz	575000.0	3000.0
J. Reinhardt	30.0	Germany	FSV Zwickau		1000.0
Liu Dianzuo	28.0	China PR	Guangzhou Evergrande Taobao FC		4000.0
F. Reese	20.0	Germany		975000.0	6000.0
K. Matsubara	21.0	Japan	Shimizu S-Pulse	850000.0	1000.0
R. Janssen	28.0	Netherlands	VVV-Venlo	425000.0	2000.0
J. Ayala	30.0	Argentina	Rosario Central	350000.0	3000.0
M. Lundemo	24.0	Norway	Rosenborg BK	750000.0	2000.0
A. Ciranni	22.0	Belgium	Fortuna Sittard	650000.0	2000.0
B. Konaté	22.0	France	Chamois Niortais Football Club	650000.0	2000.0
A. Crognale	23.0	United States	Columbus Crew SC		2000.0
Kwak Kwang Sun		Korea Republic	Suwon Samsung Bluewings	300000.0	2000.0
F. Boyer	27.0		Grenoble Foot 38	500000.0	2000.0
Noblejas	25.0	Spain		600000.0	3000.0
Q. Westberg	32.0	United States	AJ Auxerre	300000.0	2000.0
S. Daham	22.0	Algeria	FC Sochaux-Montbéliard	900000.0	2000.0
M. Fellah	29.0	Norway	Sandefjord Fotball	525000.0	1000.0
T. Miyayoshi	25.0	Japan	Hokkaido Consadole Sapporo		2000.0
J. Bellegarde	20.0	France	Racing Club de Lens	925000.0	2000.0
O. Ba	22.0	Senegal	GFC Ajaccio	725000.0	1000.0
M. Fetsch	29.0	Germany	Hallescher FC	550000.0	2000.0
H. Ekstein	27.0	South Africa	Kaizer Chiefs	625000.0	1000.0
C. Bayala		Burkina Faso	Racing Club de Lens	750000.0	3000.0
T. Cancellotti	26.0	Italy	Cittadella	625000.0	1000.0
Kweon Han Jin	30.0	Korea Republic	Jeju United FC	400000.0	2000.0
E. Upson	28.0	England	Bristol Rovers	525000.0	3000.0
A. Cook	27.0	England	Walsall	575000.0	3000.0
L. Miracoli	26.0	Italy	Brescia	675000.0	2000.0
L. Jäger	24.0	Austria	1. FC Nürnberg	625000.0	5000.0
Park Yi-Young	24.0	Korea Republic	FC St. Pauli	600000.0	4000.0
S. Payne	26.0	England	Bristol Rovers	600000.0	3000.0
S. Arai	29.0	Japan	Kawasaki Frontale	375000.0	2000.0
L. Tipton	25.0	Colombia	Atlético Huila	475000.0	1000.0
C. Doidge	25.0	Wales	Bolton Wanderers	675000.0	5000.0
A. Ndom	22.0	France	Stade de Reims	725000.0	4000.0
N. Medvedev	23.0	Russia	Lokomotiv Moscow	625000.0	1000.0
K. Murata	29.0	Japan	Shimizu S-Pulse	525000.0	2000.0
A. Annan		Ghana	HJK Helsinki	375000.0	1000.0
S. Wagstaff	28.0	England		550000.0	3000.0
A. Fukumori	25.0	Japan	Hokkaido Consadole Sapporo	600000.0	1000.0
Ryu Seung Woo	24.0	Korea Republic	Jeju United FC	750000.0	2000.0
D. Baumann	23.0	Germany	FC Würzburger Kickers	725000.0	2000.0
O. Rodríguez	21.0	Mexico	Club León	800000.0	
Pedrinho	33.0	Portugal	CD Aves	210000.0	
J. Ebobisse	21.0	United States	Portland Timbers	875000.0	2000.0
J. Toivio	30.0	Finland	BK Häcken	400000.0	1000.0
M. Bruccini	32.0	Italy	Cosenza	400000.0	1000.0
César Ortiz	29.0	Spain	SV Mattersburg	425000.0	5000.0
K. Veendorp	21.0	Netherlands	FC Emmen	775000.0	1000.0
J. Amoah	23.0	Ghana	Vitória Guimarães	775000.0	3000.0
P. González	25.0	Mexico	Puebla FC	675000.0	2000.0
R. Amin	22.0	Netherlands	Östersunds FK	750000.0	2000.0
H. Otani	33.0	Japan	Kashiwa Reysol	220000.0	3000.0
	26.0	Japan	Shonan Bellmare		1000.0
L. González	27.0	Venezuela	Deportes Tolima	575000.0	1000.0
M. Burch	34.0	United States	Minnesota United FC		2000.0
Y. Amankwah	29.0	Norway	Hobro IK	425000.0	3000.0
T. Mickel	29.0	Germany	Hamburger SV	375000.0	3000.0
Kim Dong Woo	30.0	Korea Republic	FC Seoul	400000.0	2000.0
S. Calvano	24.0	Italy	Hellas Verona	675000.0	1000.0
J. Bree	20.0	England	Aston Villa	850000.0	3000.0
B. Körk	38.0	Turkey	Akhisar Belediyespor	40000.0	2000.0
S. Takahashi	28.0	Japan	Vissel Kobe	425000.0	2000.0
A. Vallci	22.0	Austria	FC Wacker Innsbruck	575000.0	3000.0
	36.0	Argentina	Unión La Calera	70000.0	1000.0
E. Flores		Chile	CD Universidad de Concepción	1200000.0	1000.0
G. Honeyman	23.0	England	Sunderland	750000.0	3000.0
A. Cairns	25.0	England	Fleetwood Town		2000.0
Kim Nam Chun	29.0	Korea Republic	FC Seoul	475000.0	2000.0
L. Solignac	27.0	Argentina	Chicago Fire	575000.0	3000.0
Kim Yong Hwan		Korea Republic	Incheon United FC	575000.0	2000.0
N. Kuipers	25.0	Netherlands	ADO Den Haag	575000.0	2000.0
A. Hopmark	26.0	Norway	Kristiansund BK	550000.0	1000.0
Y. Barnawi	24.0	Saudi Arabia	Al Qadisiyah		4000.0
K. Moleko	28.0	South Africa	Kaizer Chiefs	425000.0	1000.0
J. Kauko	27.0	Finland	Esbjerg fB	550000.0	3000.0
O. Sidibé	33.0	Guinea	AS Béziers	220000.0	2000.0
J. Dacres-Cogley	22.0	England	Birmingham City	700000.0	6000.0
D. Bates	21.0	Scotland	Hamburger SV	775000.0	3000.0
M. Budziński	27.0	Poland	Cracovia	450000.0	2000.0
	24.0	Switzerland	Grasshopper Club Zürich	600000.0	3000.0
F. Rodríguez	32.0	Colombia	Atlético Bucaramanga	100000.0	1000.0
D. Doekhi	20.0	Netherlands	Vitesse	775000.0	
S. Fujita	31.0	Japan	Shonan Bellmare	475000.0	1000.0
B. Mason	20.0	England	Coventry City	800000.0	2000.0
Jorge Cuenca	18.0	Spain	FC Barcelona	850000.0	11000.0
I. Ramírez	23.0	Paraguay	Godoy Cruz	625000.0	3000.0
R. König	35.0	Germany	FSV Zwickau	250000.0	1000.0
S. Clark		United States	Portland Timbers	300000.0	2000.0
	24.0	Spain	Granada CF		2000.0
M. Guezoui	29.0	France	Valenciennes FC	550000.0	2000.0
K. Morris	24.0	England	Walsall	700000.0	2000.0
S. Lundholm		Sweden	IK Sirius	725000.0	1000.0
G. Perea	26.0	Colombia	Once Caldas	550000.0	1000.0
K. Ogawa	25.0	Japan	Shonan Bellmare		
C. Benavídez	20.0	Uruguay	Independiente	775000.0	3000.0
M. Erb		Germany	KFC Uerdingen 05	500000.0	2000.0
J. Rodríguez		Colombia		69500000.0	1000.0
B. Youssouf		Comoros	AJ Auxerre	600000.0	2000.0
Grego Sierra	25.0		CD Numancia	700000.0	3000.0
J. Sabbatini	30.0	Uruguay	FC Lugano	500000.0	2000.0
N. Briasco	22.0	Armenia		875000.0	4000.0
F. Hansch	22.0	Germany	SV Sandhausen	750000.0	2000.0
M. Ingram	24.0	England	Queens Park Rangers	600000.0	2000.0
A. Ibsen Rømer	24.0	Denmark	Randers FC	700000.0	3000.0
L. Filippini	22.0	Italy	Lazio	600000.0	8000.0
D. Dankerlui	21.0	Netherlands	Willem II	675000.0	2000.0
Markel Areitio	21.0	Spain	SD Eibar	775000.0	3000.0
J. Chapman	24.0		Toronto FC	700000.0	2000.0
H. Kane	19.0	England	Doncaster Rovers	83500000.0	10000.0
L. Fiordilino	21.0	Italy	Palermo	875000.0	1000.0
B. Verboom	26.0	Belgium	SV Zulte-Waregem	525000.0	4000.0
D. Gape	23.0	England	Wycombe Wanderers	725000.0	2000.0
E. Miller	25.0		Minnesota United FC	575000.0	2000.0
Y. Maruhashi	27.0	Japan	Cerezo Osaka		2000.0
Yang Zhi	35.0	China PR	Beijing Sinobo Guoan FC	130000.0	
P. Larsen	29.0	Norway	SK Brann		2000.0
L. Verna	25.0		Cosenza	700000.0	1000.0
F. Silva	35.0	Uruguay	Curicó Unido	2400000.0	1000.0
B. Close	21.0	England	Portsmouth	925000.0	3000.0
Pité	23.0			650000.0	1000.0
Q. Amarikwa	30.0	United States	Montreal Impact	525000.0	3000.0
Marquitos	31.0	Spain	Miedź Legnica	475000.0	
	23.0	England	Fleetwood Town	775000.0	3000.0
K. Bakırcıoğlu	37.0	Sweden	Hammarby IF	170000.0	1000.0
F. Mendy	24.0		Red Star FC	13000000.0	2000.0
	24.0	Norway	FK Haugesund	575000.0	1000.0
J. Blomberg	31.0	Sweden	Colorado Rapids		2000.0
Y. Mena		Colombia	Itagüí Leones FC	550000.0	1000.0
W. Eskelinen	21.0	Sweden	GIF Sundsvall	775000.0	1000.0
Fan Yunlong	29.0	China PR	Guizhou Hengfeng FC	525000.0	4000.0
M. Honsak	21.0	Austria	Holstein Kiel	800000.0	6000.0
D. Bouzanis	27.0	Australia	PEC Zwolle	375000.0	3000.0
B. Maubleu	28.0	France	Grenoble Foot 38	450000.0	2000.0
T. Rühle	27.0	Germany	SC Preußen Münster	575000.0	2000.0
K. Shelton	25.0	United States	Sporting Kansas City	725000.0	2000.0
Diego Parras	22.0	Spain		675000.0	2000.0
L. Di Matteo	30.0	Italy	Lecce	400000.0	1000.0
J. Dalé	32.0	France	AS Nancy Lorraine	425000.0	2000.0
M. Hernandez	26.0	Guatemala	FC Dallas	550000.0	2000.0
C. Mancilla	25.0	Colombia	Envigado FC		1000.0
F. Viáfara	26.0	Colombia	Rionegro Águilas	525000.0	1000.0
L. Neagle	31.0	United States	Seattle Sounders FC	475000.0	2000.0
B. Kamau	23.0	Australia	Western Sydney Wanderers	725000.0	3000.0
L. Putaro	21.0	Germany	Eintracht Braunschweig	775000.0	
E. Birniçan	29.0	Turkey	Kasimpaşa SK	375000.0	3000.0
I. Akdağ	26.0		BB Erzurumspor	525000.0	4000.0
J. Clark	24.0	England	Accrington Stanley	675000.0	2000.0
S. Mrowca	24.0	Poland	SV Wehen Wiesbaden	575000.0	2000.0
U. Nayir	25.0		Bursaspor	725000.0	11000.0
J. Caenepeel	21.0	Belgium	Excelsior	775000.0	2000.0
Iván Márquez	24.0	Spain		625000.0	1000.0
N. Besler	25.0		Real Salt Lake	600000.0	2000.0
F. Rogic	25.0	Sweden	Örebro SK	675000.0	2000.0
P. Hoffmann	26.0	Germany		625000.0	2000.0
E. Córdoba	24.0	Colombia	Atlético Huila	600000.0	1000.0
Zhao Yuhao	25.0	China PR	Hebei China Fortune FC	625000.0	4000.0
Álvaro	20.0	Spain	Extremadura UD	9500000.0	7000.0
Q. Maceiras	22.0	Switzerland	FC Sion	700000.0	6000.0
T. Augello	23.0	Italy	Spezia	625000.0	1000.0
A. Kampetsis	19.0	Greece	Panathinaikos FC	900000.0	1000.0
T. Schrammel	30.0	Austria	SK Sturm Graz	400000.0	5000.0
D. Poleon	24.0	England	Crawley Town	725000.0	3000.0
T. Kemp	27.0	United States	DC United	450000.0	2000.0
	23.0	Senegal	KAS Eupen	625000.0	3000.0
	21.0	England	Sheffield Wednesday	850000.0	5000.0
H. Weydandt	22.0	Germany	Hannover 96	775000.0	8000.0
F. Sporkslede	24.0	Netherlands	NAC Breda	575000.0	2000.0
A. Díaz	22.0	Mexico	Club Atlas	775000.0	13000.0
I. Zotko	21.0	Ukraine	Elche CF		1000.0
J. Mendes	27.0	France		625000.0	2000.0
C. Trueman	22.0	England		675000.0	4000.0
F. Azemi	26.0		Sandefjord Fotball	675000.0	2000.0
Fernando	28.0	Spain	UD Almería	9500000.0	2000.0
A. O'Neill	19.0	Australia	Central Coast Mariners	925000.0	6000.0
Javi Jiménez	21.0	Spain	Valencia CF	1200000.0	5000.0
M. Dube	25.0	South Africa	Orlando Pirates	550000.0	1000.0
J. Mejías	20.0	Venezuela	Gimnàstic de Tarragona	925000.0	5000.0
C. Ohene	24.0	Ghana		575000.0	4000.0
K. Risgård	35.0	Denmark	Aalborg BK	230000.0	3000.0
F. Forte	25.0	Italy	Waasland-Beveren	700000.0	4000.0
Han Seok Jong	25.0	Korea Republic	Incheon United FC	650000.0	2000.0
N. Avellaneda	25.0	Argentina	Defensa y Justicia	525000.0	3000.0
Park Dae Han	27.0		Sangju Sangmu FC	450000.0	2000.0
A. Erceg	28.0	Croatia	Brøndby IF	550000.0	8000.0
M. Vázquez	25.0	Argentina	La Equidad	700000.0	1000.0
A. Wildig	26.0	England	Morecambe	625000.0	3000.0
O. Abdulaziz	34.0	Saudi Arabia	Al Faisaly	160000.0	6000.0
F. Kent	22.0	England	Colchester United	750000.0	3000.0
M. Pink	27.0	Austria	SK Sturm Graz		6000.0
F. Morais	32.0	Portugal	Crawley Town	400000.0	
S. Yesil	24.0	Germany	KFC Uerdingen 05	725000.0	2000.0
M. Bürki	24.0	Switzerland	SV Zulte-Waregem	600000.0	3000.0
	29.0	Colombia	Rionegro Águilas	400000.0	1000.0
J. Horsfield	22.0	England	Scunthorpe United	675000.0	
K. Edwards	20.0	England		975000.0	6000.0
O. Hawkins	26.0	England	Portsmouth	675000.0	4000.0
H. Opdal	36.0	Norway	IK Start	70000.0	1000.0
T. Albutat	25.0	Germany	MSV Duisburg	600000.0	2000.0
H. Cid	26.0	Mexico	Tiburones Rojos de Veracruz	625000.0	2000.0
T. Edwards	19.0	England	Stoke City	1000000.0	4000.0
B. Arce	19.0	Ecuador	Extremadura UD	800000.0	5000.0
Sui Donglu	35.0	China PR	Chongqing Dangdai Lifan FC SWM Team	130000.0	2000.0
A. Palacios	26.0	Colombia	Deportivo Pasto	450000.0	1000.0
E. Käck	28.0	Sweden	IK Start	425000.0	
V. Sierro	22.0	Switzerland	FC St. Gallen	825000.0	5000.0
A. Rodman	31.0	England	Bristol Rovers	475000.0	3000.0
E. Zenga	25.0	Germany	SV Sandhausen	675000.0	2000.0
R. Ruiz	32.0	Mexico		300000.0	6000.0
C. McHugh		Republic of Ireland	Motherwell	550000.0	2000.0
Ferrán Giner	30.0	Spain	RCD Mallorca	500000.0	3000.0
F. Ponce	30.0	Mexico	Boyacá Chicó FC	500000.0	1000.0
A. Chicksen	26.0	Zimbabwe	Bradford City	525000.0	3000.0
N. Miatke	28.0	Germany	FSV Zwickau	550000.0	1000.0
G. Rólantsson Sørensen	25.0	Faroe Islands	SK Brann	650000.0	
A. Damen	28.0	Netherlands	Excelsior	450000.0	2000.0
A. Arroyo	24.0	Panama	Santa Clara	725000.0	2000.0
I. Voca	21.0	Kosovo	FC Luzern	850000.0	3000.0
Fran Manzanara	21.0	Spain	Levante UD	775000.0	4000.0
S. Lawson	23.0	Togo	Livingston FC	625000.0	2000.0
A. Gerbo	28.0	Italy	Foggia	550000.0	1000.0
A. N'Diaye	27.0	France	Clermont Foot 63	7000000.0	2000.0
M. O'Connor	30.0	Northern Ireland	Lincoln City	500000.0	5000.0
L. Prosser	30.0	England	Colchester United	400000.0	4000.0
J. Clauss	25.0	France	DSC Arminia Bielefeld		4000.0
G. Cummins	30.0	Republic of Ireland	Cork City	525000.0	1000.0
	29.0	Netherlands	De Graafschap	525000.0	3000.0
Maicon	25.0	Brazil	Livorno	11500000.0	1000.0
C. Mosca	27.0	Argentina	San Martín de San Juan	550000.0	4000.0
G. Nepomuceno	25.0	Curacao	Oldham Athletic	650000.0	4000.0
S. Dembele	21.0	Scotland	Peterborough United	875000.0	3000.0
M. McKay	35.0	Australia	Brisbane Roar	130000.0	1000.0
S. Ringstad	26.0	Norway	Sandefjord Fotball	525000.0	1000.0
C. Evina		Cameroon		450000.0	5000.0
L. Wing		England	Middlesbrough	750000.0	11000.0
D. Henry	25.0	Canada	Vancouver Whitecaps FC	600000.0	2000.0
M. Jakoliš	21.0	Croatia	FC Admira Wacker Mödling		3000.0
G. Di Noia	23.0	Italy		725000.0	4000.0
N. Ansell	24.0	Australia	Melbourne Victory	625000.0	2000.0
G. Wüthrich		Switzerland	BSC Young Boys	650000.0	4000.0
M. Osei Kwadwo	23.0	Ghana	1. FC Magdeburg	800000.0	4000.0
Nathan	23.0	Brazil	Grasshopper Club Zürich	650000.0	3000.0
K. Tokstad	26.0	Norway	Strømsgodset IF	575000.0	1000.0
V. Agardius	28.0	Sweden	Kalmar FF	500000.0	1000.0
	25.0	Argentina	Patronato		4000.0
K. Osorio	24.0		Patriotas Boyacá FC	700000.0	1000.0
S. Al Rubaie	24.0	Saudi Arabia	Ettifaq FC	625000.0	6000.0
D. Van den Buijs		Belgium	Heracles Almelo	625000.0	2000.0
A. Badji	20.0	Senegal	Djurgårdens IF		2000.0
M. Eisa	23.0	Sudan	Bristol City	775000.0	10000.0
	22.0	Germany	VfR Aalen	750000.0	1000.0
M. Álvarez		Argentina	Independiente	900000.0	4000.0
D. Ball	28.0	England	Bradford City	650000.0	9000.0
A. Thompson	25.0	Northern Ireland	Bury	575000.0	4000.0
G. Morrissey	26.0	Republic of Ireland	Cork City	525000.0	1000.0
D. Remick	27.0	United States	Houston Dynamo	500000.0	2000.0
J. Dall'Oglio	26.0	Italy		625000.0	1000.0
Yang Jun A	29.0	Korea Republic	Jeonnam Dragons	425000.0	
G. Beretta	26.0	Italy	Ascoli	650000.0	1000.0
	30.0	Colombia	Itagüí Leones FC	7500000.0	1000.0
T. Craig	33.0		Bristol Rovers	220000.0	3000.0
S. Monaco	25.0	Italy	Perugia	525000.0	1000.0
M. Rahn	28.0	Germany	VfL Sportfreunde Lotte	500000.0	1000.0
M. Rosheuvel	27.0	Netherlands	NAC Breda	575000.0	3000.0
C. Amissi	28.0	Burundi		525000.0	6000.0
Júnior Tavares	21.0	Brazil	Sampdoria	725000.0	5000.0
M. Breij	21.0	Netherlands	FC Groningen	800000.0	2000.0
C. Vergara		Chile	Club Deportes Temuco	625000.0	1000.0
Y. Rokutan	31.0	Japan	Shimizu S-Pulse	325000.0	1000.0
T. Danneberg	32.0	Germany	VfL Osnabrück	400000.0	1000.0
B. Kwiecień	24.0	Poland	Jagiellonia Białystok	525000.0	2000.0
P. Tietz	20.0	Germany	FC Carl Zeiss Jena	650000.0	
M. Gostomski	29.0	Poland	Cracovia	300000.0	1000.0
	30.0	Canada	Toronto FC	425000.0	2000.0
R. Klingenburg	24.0	Germany	SC Preußen Münster	575000.0	1000.0
	24.0	Australia	Central Coast Mariners	550000.0	1000.0
A. Piu	21.0	Italy	Carpi	775000.0	3000.0
M. Heyer	23.0	Germany	Hallescher FC	525000.0	1000.0
Y. Opazo	33.0	Chile	Curicó Unido	170000.0	1000.0
I. Sankhon	22.0	Guinea	Sint-Truidense VV	625000.0	3000.0
C. Hussey	29.0		Cheltenham Town	350000.0	3000.0
R. Atassi	27.0			450000.0	1000.0
J. Hiwula	23.0	England	Coventry City	650000.0	3000.0
S. Kashket	22.0		Wycombe Wanderers	800000.0	2000.0
E. Björkander	22.0	Sweden	GIF Sundsvall	600000.0	
E. Abedini	19.0	Switzerland	FC Lugano	875000.0	1000.0
D. Giorico	26.0	Italy	Carpi	525000.0	1000.0
L. de la Torre	20.0	United States	Fulham	800000.0	8000.0
Peixotacinho	34.0	Brazil		140000.0	3000.0
N. Hazazi	25.0	Saudi Arabia		450000.0	4000.0
T. Kanamori	24.0	Japan	Kashima Antlers	625000.0	3000.0
E. Moreno	24.0	Colombia	Deportivo Pasto	600000.0	1000.0
P. Malarczyk	26.0	Poland	Korona Kielce	450000.0	1000.0
W. Burns	23.0	Wales	Fleetwood Town	600000.0	2000.0
V. Bergan	23.0	Norway	Odds BK	600000.0	1000.0
D. Okereke	20.0	Nigeria	Spezia	825000.0	1000.0
W. Vorsager	21.0	Austria	FC Admira Wacker Mödling	600000.0	2000.0
A. Bischoff	31.0	Portugal	FC Hansa Rostock	375000.0	1000.0
M. Matras	27.0	Poland	Zagłębie Lubin	425000.0	2000.0
H. Kamara	24.0	France		600000.0	4000.0
K. Soni	20.0	Cameroon	Girona FC		4000.0
F. Al Masrahi	25.0	Saudi Arabia	Al Qadisiyah	400000.0	3000.0
Adrián Gómez	24.0	Spain	Albacete BP	600000.0	2000.0
A. Petre	20.0	Romania	Esbjerg fB	750000.0	2000.0
M. Bakenga	25.0	Norway	Tromsø IL	575000.0	1000.0
D. Berntsen	25.0	Norway	Tromsø IL	575000.0	1000.0
Y. Hiraoka	32.0	Japan	Vegalta Sendai	260000.0	1000.0
K. Enghardt	26.0	Denmark	Randers FC	450000.0	3000.0
T. Pope	32.0	England	Port Vale	350000.0	4000.0
A. Ivan	23.0	Romania	New York Red Bulls	1500000.0	2000.0
O. Custodio	23.0	Switzerland	FC Luzern	650000.0	3000.0
J. Teunckens	20.0	Belgium	Royal Antwerp FC	600000.0	1000.0
D. Donohue	24.0	Wales	Portsmouth	450000.0	2000.0
E. Oti Essigba	21.0	Ghana	Esbjerg fB	725000.0	2000.0
R. Kiernan	27.0	Republic of Ireland	Southend United	375000.0	2000.0
J. Lumley	23.0	England	Queens Park Rangers	525000.0	2000.0
M. Torres	22.0	Colombia	Atlético Bucaramanga	4700000.0	1000.0
D. Bertaud	20.0	France	Montpellier HSC	650000.0	
K. Oiwa	28.0	Japan	Vegalta Sendai	375000.0	1000.0
J. Ramírez	20.0	Colombia	Atlético Nacional	4800000.0	1000.0
Pablo Fernández	21.0	Spain	Real Sporting de Gijón	675000.0	2000.0
Cho Soo Hyuk	31.0	Korea Republic	Ulsan Hyundai FC	270000.0	2000.0
Z. Jovanovic	31.0	Sweden	Trelleborgs FF	400000.0	1000.0
D. Islamovic	24.0	Sweden	Östersunds FK	650000.0	1000.0
E. Ekpolo	23.0	Nigeria	BK Häcken	500000.0	1000.0
D. Wynne	23.0	New Zealand	Colorado Rapids	500000.0	2000.0
S. Surridge	19.0	England	Oldham Athletic	850000.0	7000.0
E. Huth	21.0	Germany	1. FC Kaiserslautern	750000.0	1000.0
E. Pereyra	19.0	Argentina	San Lorenzo de Almagro	875000.0	2000.0
R. Foster	32.0	Scotland	St. Johnstone FC	250000.0	2000.0
J. Donacien	24.0	St Lucia	Ipswich Town	500000.0	1000.0
X. Tomas	32.0	France	Red Star FC	260000.0	2000.0
D. Batty	20.0	England	Hull City	900000.0	
R. Steer	36.0	Colombia	Once Caldas	160000.0	1000.0
Mateus Couteira	34.0	Brazil	Paraná		4000.0
G. Diangana	20.0	England	West Ham United	1000000.0	10000.0
F. Aksoy	20.0	Turkey	Beşiktaş JK	675000.0	6000.0
M. Tootle	27.0	England	Notts County	375000.0	4000.0
	24.0	Germany	TSV 1860 München	500000.0	2000.0
M. Bravo	25.0	Chile		675000.0	1000.0
D. Stroh-Engel	32.0	Germany	Karlsruher SC	350000.0	2000.0
D. Orgill	28.0		Wolfsberger AC	475000.0	4000.0
N. Neidhart	23.0	Germany	VfL Sportfreunde Lotte	525000.0	1000.0
J. Ockford	26.0	United States	San Jose Earthquakes	450000.0	2000.0
B. Gschweidl	22.0	Austria	Wolfsberger AC	600000.0	3000.0
S. Yohou	26.0	Ivory Coast		450000.0	2000.0
E. Pantelakis	23.0	Greece	Panathinaikos FC	575000.0	
Marcel	25.0	Brazil	Portimonense SC	500000.0	2000.0
L. Leahy	25.0	England	Walsall	450000.0	2000.0
D. Vržogić	28.0	Germany	SV Meppen	350000.0	1000.0
S. Coulibaly	23.0		Dijon FCO	550000.0	3000.0
A. Rodríguez	25.0	Colombia	Independiente Santa Fe	4000000.0	11000.0
M. Khubrani	24.0	Saudi Arabia	Al Qadisiyah	500000.0	4000.0
C. Dagnall	32.0	England	Bury	350000.0	4000.0
	30.0		Atlético Paranaense	325000.0	3000.0
F. Björkén	27.0	Sweden	IF Brommapojkarna	425000.0	1000.0
J. Williams		Wales	Rochdale	2300000.0	1000.0
H. Al Ghaddioui	27.0	Morocco		475000.0	3000.0
S. Saunders	34.0	England	Wycombe Wanderers	220000.0	2000.0
A. Sarcevic		England	Plymouth Argyle	525000.0	3000.0
P. Zieliński	27.0	Poland	Miedź Legnica	24500000.0	1000.0
F. Alastra	20.0	Italy	Palermo	600000.0	1000.0
O. Richards	19.0	England	Reading	875000.0	3000.0
Y. Andia		Chile	Unión La Calera	550000.0	1000.0
Wang Yun	35.0	China PR	Shanghai Greenland Shenhua FC	190000.0	3000.0
M. Sansores	27.0	Mexico	Monarcas Morelia	525000.0	3000.0
J. Martínez	24.0	Colombia	Envigado FC	22500000.0	1000.0
T. De Smet	20.0		KAA Gent	675000.0	3000.0
A. Obispo	19.0	Netherlands	PSV	875000.0	1000.0
J. Colman	19.0	Paraguay	Orlando City SC	775000.0	1000.0
A. Nef	36.0	Switzerland	FC Zürich	60000.0	2000.0
S. Lawless	27.0	Scotland	Livingston FC	375000.0	2000.0
A. Seck	26.0	Senegal	Royal Antwerp FC	475000.0	3000.0
S. Saucedo	21.0	United States	Real Salt Lake	725000.0	2000.0
R. Marchizza	20.0	Italy	Crotone	900000.0	6000.0
M. Adams	21.0	England	Chicago Fire	675000.0	1000.0
C. Orrantía	27.0	Mexico		425000.0	4000.0
B. Bellot	27.0	Germany	Brøndby IF	300000.0	4000.0
G. Zampano	24.0	Italy	Venezia FC	575000.0	1000.0
R. Poole	20.0	Wales	Manchester United	675000.0	13000.0
Y. Díaz	26.0	Colombia	Rionegro Águilas	475000.0	1000.0
T. Berni	35.0	Italy	Inter	110000.0	5000.0
F. Nouble	26.0	England	Colchester United	475000.0	4000.0
T. Gebauer	36.0	Austria	LASK Linz	60000.0	1000.0
F. Torgnascioli		Uruguay	CD Everton de Viña del Mar	375000.0	1000.0
A. Etemadi	31.0	Iran		270000.0	2000.0
C. Reilly	24.0	Republic of Ireland	Gillingham	575000.0	2000.0
B. Rowe	29.0	United States	Vancouver Whitecaps FC	350000.0	2000.0
M. Vitzthum		Germany	SG Sonnenhof Großaspach	450000.0	1000.0
O. Özdemir	23.0	Turkey	1. FC Kaiserslautern	525000.0	1000.0
Alberto Varo	25.0	Spain	CD Lugo	450000.0	2000.0
Claudio Mouria	26.0	Brazil	Santos	475000.0	4000.0
P. Staikos	22.0	Greece	Panathinaikos FC	600000.0	1000.0
N. Fazzi	23.0	Italy	Livorno	500000.0	4000.0
R. Cepeda	24.0	Chile	Club Deportes Temuco	625000.0	1000.0
E. Zaldívar	21.0	Mexico	Club Atlas	725000.0	3000.0
Zhu Jianrong	26.0	China PR	Shanghai Greenland Shenhua FC	550000.0	4000.0
M. Chacón	24.0	Netherlands	FC Emmen	575000.0	2000.0
S. Londoño	23.0	Colombia	Envigado FC	550000.0	1000.0
S. Luna	30.0	Argentina	Belgrano de Córdoba	325000.0	3000.0
N. Mason	21.0	England	Doncaster Rovers	550000.0	2000.0
S. Skytte	21.0	Denmark	AC Horsens	775000.0	4000.0
K. Madu	22.0	Nigeria	SV Zulte-Waregem	525000.0	3000.0
G. Ruggiero	18.0		Palermo	850000.0	1000.0
M. Legittimo	29.0	Italy	Cosenza	350000.0	1000.0
F. Assmann	32.0	Argentina	Club Atlético Aldosivi	260000.0	2000.0
C. Mueller	21.0	United States	Orlando City SC	800000.0	1000.0
Willy	29.0	Spain	Extremadura UD	450000.0	2000.0
P. Owusu	21.0	Germany	DSC Arminia Bielefeld	675000.0	3000.0
L. Diaby Fadiga	17.0	France	OGC Nice	900000.0	4000.0
H. Hansen	23.0	Germany	FC Würzburger Kickers	500000.0	2000.0
R. Hayasaka	32.0	Japan	Hokkaido Consadole Sapporo	350000.0	1000.0
E. Lomotey	20.0	Ghana	Villarreal CF		1000.0
J. Marimón	19.0	Colombia	Royal Excel Mouscron	650000.0	1000.0
Jiang Tao	29.0		Beijing Sinobo Guoan FC	350000.0	4000.0
F. Bechtholdt	24.0	Argentina	Curicó Unido	475000.0	1000.0
P. Salomon	30.0	Austria	SV Mattersburg	425000.0	5000.0
A. Fukuta	26.0	Japan	Sagan Tosu	525000.0	1000.0
A. Carleton		United States	Atlanta United	925000.0	1000.0
Martínez	25.0	Spain	Granada CF	500000.0	4000.0
Pablo Vázquez	23.0	Spain	Granada CF	575000.0	2000.0
